Player Engineer Intro;//name-----------------------PLAYER ENGINEER START---------------------------
	0;//identifier//{
	;//text
	8000;//duration
	1;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Intro;//name--------------------------------------------
	1;//identifier//{
	Urghhh..;//text
	6000;//duration
	2;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Intro;//name--------------------------------------------
	2;//identifier//{
	This damn wake up... I hate it...;//text
	6000;//duration
	3;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Intro;//name--------------------------------------------
	3;//identifier//{
	;//text
	6000;//duration
	4;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Intro;//name--------------------------------------------
	4;//identifier//{
	There was supposed to be someone here to help me up...;//text
	6000;//duration
	6;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Journal updated;//name--------------------------------------------
	5;//identifier//{
	-Journal updated-;//text
	6000;//duration
	1000;//next dialog line (-1=none)
	1;//text color r
	0.6;//text color g
	0;//text color b//}
Player Engineer Intro;//name--------------------------------------------
	6;//identifier//{
	I need to suit up and clean myself from this sticky mess... I should go and check those lockers.;//text
	2000000000;//duration
	-1;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Found The Jumpsuit;//name--------------------------------------------
	7;//identifier//{
	Alright, let's equip it and exit the room.;//text
	2000000000;//duration
	-1;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Exits The Room;//name--------------------------------------------
	8;//identifier//{
	Hmmmm... The power seems to be out, what the hell is going on?;//text
	6000;//duration
	9;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Exits The Room;//name--------------------------------------------
	9;//identifier//{
	Best to grab some lightsticks too.;//text
	6000;//duration
	-1;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Cryo Tube;//name--------------------------------------------
	9;//identifier//{
	Reggis Wolf... Alright... Now to find my locker.;//text
	7000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Locker;//name---------------------------------------------------------------------------
	10;//identifier//{
	Reggis Wolf... This is the one. Looks like I am an engineer on this ship...;//text
	8000;//duration
	11;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Locker;//name---------------------------------
	11;//identifier//{
	Interestingly, I know everything relating to engineering and mechanics, but not my name, hehehe...;//text
	8000;//duration
	12;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Locker;//name---------------------------------
	12;//identifier//{
	Hmm.. I thought that the previous shift was supposed to wake us up and prepare us.;//text
	8000;//duration
	13;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Locker;//name---------------------------------
	13;//identifier//{
	Well... Let's find them then. Let's check out that door.;//text
	8000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Door;//name---------------------------------
	14;//identifier//{
	This can't be good. The door is not powered, and the backup generator isn't working.;//text
	8000;//duration
	15;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Door;//name---------------------------------
	15;//identifier//{
	I might need to use the vents on the floor to get out of this room.;//text
	8000;//duration
	16;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Examines Door;//name---------------------------------
	16;//identifier//{
	It is possible that the engine malfunctioned and the current shift is trying to fix it.;//text
	8000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player engineer Enters Cryo Vent;//name---------------------------------
	17;//identifier//{
	It's dark in here... I need to find a vent that isn't secured by screws.;//text
	8000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Sees Blocked Cryo Vents;//name---------------------------------
	18;//identifier//{
	Heh, this path is blocked... Looks like we have a lot to do this shift.;//text
	6000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Exits Cryo Vents;//name---------------------------------
	19;//identifier//{
	This one is open. Let's climb up there.;//text
	6000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Exits Cryo Area;//name---------------------------------------------------------------------------
	20;//identifier//{
	Alright. Now to find someone to explain me what is going on.;//text
	8000;//duration
	21;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Exits Cryo Area;//name---------------------------------------------------------------------------
	21;//identifier//{
	This is a huge ship, from what I can remember.;//text
	8000;//duration
	22;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Exits Cryo Area;//name---------------------------------------------------------------------------
	22;//identifier//{
	My best chances of finding someone would be in the engine room, which should be few decks below.;//text
	8000;//duration
	5;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Enters Main Engineering Area;//name---------------------------------------------------------------------------
	23;//identifier//{
	This is the main engineering deck. They should be in here.;//text
	8000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Shouts For Anyone;//name---------------------------------------------------------------------------
	24;//identifier//{
	Helooo? Is anyone in here?.;//text
	6000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Finds Crowbar;//name---------------------------------------------------------------------------
	30;//identifier//{
	Nice! This will come in handy.;//text
	3000;//duration
	31;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	31;//identifier//{
	Wha-...;//text
	2000;//duration
	2000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	32;//identifier//{
	HOLY SHIT!;//text
	3000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Hears Alien Noise;//name---------------------------------------------------------------------------
	33;//identifier//{
	;//text
	1500;//duration
	42;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	34;//identifier//{
	What... What is happening...!?!;//text
	3000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	35;//identifier//{
	They ripped him in half...;//text
	4000;//duration
	36;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	36;//identifier//{
	I need to... Urghh... ;//text
	4000;//duration
	37;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	37;//identifier//{
	That guy was still alive when I came, right..? Maybe there are more...;//text
	6000;//duration
	38;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	38;//identifier//{
	There is no fucking way I'm going to restart engines alone...;//text
	6000;//duration
	39;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer (Cinematic I);//name---------------------------------------------------------------------------
	39;//identifier//{
	At least I can open some doors with this crowbar... Let's see where they lead us, I'll think of something on the way...;//text
	10000;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Security Guy (Cinematic I);//name------------------------------------------------------------------------------
	40;//identifier//{
	WHAT THE FUCK ARE YOU DOING THERE?;//text
	4000;//duration
	41;//next dialog line (-1=none)
	0.8;//text color r
	0.2;//text color g
	0.8;//text color b//}
Security Guy (Cinematic I);//name---------------------------------------------------------------------------
	41;//identifier//{
	GET AWAY FROM HERE YOU IDIOT!!!;//text
	4000;//duration
	-1;//next dialog line (-1=none)
	0.8;//text color r
	0.2;//text color g
	0.8;//text color b//}
Player Engineer Hears Alien Noise;//name---------------------------------------------------------------------------
	42;//identifier//{
	Fuck...;//text
	2500;//duration
	43;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player Engineer Hears Alien Noise;//name---------------------------------------------------------------------------
	43;//identifier//{
	I better prepare myself...;//text
	3500;//duration
	1000;//next dialog line (-1=none)
	0.6;//text color r
	1;//text color g
	0;//text color b//}
Player got attacked by aliens;//name---------------------------------------------------------------------------
  50;//identifier//{
  Wha... What is that?!? ;//text
  6000;//duration
  5;//next dialog line (-1=none)
  0.6;//text color r
